sample_id,Region,Latitude,Longitude
4640T,Tg,14.29,36.6
4824A,Tg,14.29,36.6
4635-A,Tg,14.29,36.6
4547T,Tg,14.29,36.6
3788T,Tg,14.29,36.6
4545T,Tg,14.29,36.6
3452T,Tg,14.29,36.6
4546T,Tg,14.29,36.6
3804T,Tg,14.29,36.6
4544T,Tg,14.29,36.6
4604T,Tg,14.29,36.6
4825T,Tg,14.29,36.6
3786T,Tg,14.29,36.6
3789A,Tg,14.29,36.6
3806T,Tg,14.29,36.6
4641-A,Tg,14.29,36.6
4625T,Tg,14.29,36.6
2736A,Tg,14.29,36.6
3188T,Tg,14.29,36.6
4627T,Tg,14.29,36.6
4899T,Tg,14.29,36.6
4900T,Tg,14.29,36.6
4628T,Tg,14.29,36.6
4861A,Tg,14.29,36.6
4379T,Tg,14.33,38.25
4404DT,Tg,14.33,38.25
4405DT,Tg,14.33,38.25
4504T,Tg,14.33,38.25
4101T,Tg,14.33,38.25
3119-DT,Tg,14.33,38.25
4462T,Tg,14.33,38.25
5492T,Tg,14.33,38.25
4149DT,Tg,14.33,38.25
4246DT,Tg,14.33,38.25
5601T,Tg,14.33,38.25
4464T,Tg,14.33,38.25
4245T,Tg,14.33,38.25
4441DT,Tg,14.33,38.25
4375T,Tg,14.33,38.25
4461A,Tg,14.33,38.25
4249T,Tg,14.33,38.25
4374T,Tg,14.33,38.25
4460T,Tg,14.33,38.25
4457T,Tg,14.33,38.25
4141T,Tg,14.33,38.25
4451T,Tg,14.33,38.25
4465T,Tg,14.33,38.25
4463T,Tg,14.33,38.25
4248A,Tg,14.33,38.25
5085T,Tg,14.33,38.25
4247A,Tg,14.33,38.25
4147T,Tg,14.33,38.25
2051A,Tg,14.33,38.25
2733T,Tg,14.33,38.25
5793T,Tg,14.33,38.25
3122T,Tg,14.33,38.25
5595T,Tg,14.33,38.25
5126T,Tg,14.33,38.25
3812T,Tg,14.33,38.25
3807T,Tg,14.33,38.25
5124T,Tg,14.33,38.25
5292T,Tg,14.33,38.25
3449T,Tg,14.33,38.25
5774T,Tg,14.33,38.25
5493T,Tg,14.33,38.25
